timestamp,mac,rssi
2025-04-21T22:23:24Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:25Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:26Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:28Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:29Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:30Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:31Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:32Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:23:33Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:34Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:35Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:23:37Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:38Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:23:39Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:41Z,88:c6:26:3f:3b:75,-82
2025-04-21T22:23:42Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:44Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:23:46Z,88:c6:26:3f:3b:75,-89
2025-04-21T22:23:47Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:48Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:49Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:50Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:51Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:53Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:23:54Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:55Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:23:56Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:57Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:23:58Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:23:59Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:24:00Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:01Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:02Z,88:c6:26:3f:3b:75,-82
2025-04-21T22:24:05Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:06Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:24:07Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:08Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:24:09Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:10Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:12Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:24:16Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:17Z,88:c6:26:3f:3b:75,-82
2025-04-21T22:24:18Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:24:19Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:24:20Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:21Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:22Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:24:23Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:24:25Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:24:26Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:28Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:31Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:33Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:24:34Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:35Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:24:36Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:24:37Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:24:39Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:40Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:43Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:24:45Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:24:46Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:47Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:24:48Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:49Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:24:50Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:24:51Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:52Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:53Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:24:54Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:56Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:24:57Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:24:58Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:24:59Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:25:00Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:25:01Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:02Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:03Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:04Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:05Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:25:06Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:08Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:25:09Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:10Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:11Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:25:12Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:25:13Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:25:16Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:25:17Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:18Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:25:19Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:21Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:25:22Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:23Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:24Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:25:25Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:26Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:27Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:25:28Z,88:c6:26:3f:3b:75,-82
2025-04-21T22:25:31Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:25:33Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:34Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:35Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:25:36Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:25:37Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:25:39Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:25:40Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:41Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:25:44Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:45Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:46Z,88:c6:26:3f:3b:75,-89
2025-04-21T22:25:47Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:25:48Z,88:c6:26:3f:3b:75,-89
2025-04-21T22:25:49Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:50Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:51Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:25:53Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:25:54Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:56Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:25:57Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:25:58Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:25:59Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:26:00Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:01Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:26:02Z,88:c6:26:3f:3b:75,-82
2025-04-21T22:26:03Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:04Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:26:05Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:06Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:08Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:26:09Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:26:10Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:11Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:13Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:14Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:15Z,88:c6:26:3f:3b:75,-83
